id,type,model_id,precision_mode,batch_size,context_tokens_for_kv,params_m,flops_b,weight_memory_gb,activation_workspace_gb,kv_cache_gb,runtime_overhead_gb,total_estimated_vram_gb,practical_min_vram_gb,recommended_hardware_category,recommended_hardware_profile,calculation_method,confidence,evidence_ids,notes
infer_mem_efficientnet_b7,ModelInferenceMemoryEstimate,efficientnet_b7,FP32,1,,66.348,37.75,0.247,0.755,0.000,0.049,1.051,2.0,ConsumerCPU,Consumer CPU inference is possible but a capable GPU is recommended for training and latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 2GB practical minimum are conservative application policies rather than measured hardware requirements; this inference estimate does not represent training memory; KV cache is 0.
infer_mem_vit_b_16,ModelInferenceMemoryEstimate,vit_b_16,FP16,1,,86.859,55.484,0.162,0.800,0.000,0.032,0.994,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_swag_repo|evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source|evidence_vit_paper,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_clip_vit_b16,ModelInferenceMemoryEstimate,clip_vit_b16,FP16,1,,86.2,17.5,0.161,0.175,0.000,0.032,0.368,2.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_clip_paper|evidence_flashattention_paper|evidence_ft_clip_paper|evidence_ft_clip_repo|evidence_hf_accelerate_model_memory_estimator|evidence_openai_clip_repo|evidence_openai_clip_source|evidence_timm_clip_vit_b16,Parameter count is the timm CLIP ViT-B/16 visual model with its native projection and excludes the unused text tower; a replacement classification head changes it slightly with class count. KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_swin_v2_t,ModelInferenceMemoryEstimate,swin_v2_t,FP16,1,,28.352,5.94,0.053,0.400,0.000,0.011,0.464,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_microsoft_swin_repo|evidence_swin_v2_paper|evidence_torchvision_swin_source|evidence_torchvision_swin_v2_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_swin_v2_s,ModelInferenceMemoryEstimate,swin_v2_s,FP16,1,,49.737,11.546,0.093,0.800,0.000,0.019,0.912,2.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_microsoft_swin_repo|evidence_swin_v2_paper|evidence_torchvision_swin_source|evidence_torchvision_swin_v2_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_dinov2_vits14,ModelInferenceMemoryEstimate,dinov2_vits14,FP16,1,,22.1,8.8,0.041,0.088,0.000,0.008,0.137,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_dinov2_paper|evidence_dinov2_repo|evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_dinov2_docs|evidence_timm_dinov2_vits14,"Estimate represents the executable 224px timm classifier. Parameters come from the timm model card; 8.8 GMACs scales the cited 46.8 GMACs at 518px by image area, and activation workspace applies the ontology's classification heuristic. KV cache is 0 because this model is non-autoregressive."
infer_mem_dinov2_vitb14,ModelInferenceMemoryEstimate,dinov2_vitb14,FP16,1,,86.6,28.4,0.161,0.284,0.000,0.032,0.477,2.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_dinov2_paper|evidence_dinov2_repo|evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_dinov2_docs|evidence_timm_dinov2_vitb14,"Estimate represents the executable 224px timm classifier. Parameters come from the timm model card; 28.4 GMACs scales the cited 151.7 GMACs at 518px by image area, and activation workspace applies the ontology's classification heuristic. KV cache is 0 because this model is non-autoregressive."
infer_mem_dinov2_vitl14,ModelInferenceMemoryEstimate,dinov2_vitl14,FP16,1,,300,,0.559,1.500,0.000,0.112,2.171,4.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_dinov2_paper|evidence_dinov2_repo|evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_dinov2_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_dinov2_vitg14,ModelInferenceMemoryEstimate,dinov2_vitg14,FP16,1,,1100,,2.049,3.000,0.000,0.410,5.459,8.0,ConsumerGPU,Single 8GB+ consumer GPU recommended,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_dinov2_paper|evidence_dinov2_repo|evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_dinov2_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_llava_1_5_7b,ModelInferenceMemoryEstimate,llava_1_5_7b,INT4,1,2048,7000,,3.260,1.500,1.000,0.652,6.412,8.0,ConsumerGPU,Single 8GB+ GPU with 4-bit quantization; 12GB safer,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_transformers_kv_cache|evidence_llava_1_5_paper|evidence_llava_low_vram_inference|evidence_llava_official_repo,"Parameter count approximated from model family/name because no params_m row exists in model_benchmark_results.csv. KV cache assumes batch_size=1, 2048 total context tokens, and FP16/BF16 KV tensors even when model weights are quantized."
infer_mem_llava_1_5_13b,ModelInferenceMemoryEstimate,llava_1_5_13b,INT4,1,2048,13000,,6.054,1.500,1.562,1.211,10.327,12.0,ConsumerGPU,Single 12GB+ GPU with 4-bit quantization; 24GB safer for longer context,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_transformers_kv_cache|evidence_llava_1_5_paper|evidence_llava_hf_config|evidence_llava_low_vram_inference|evidence_llava_official_repo,"Parameter count approximated from model family/name because no params_m row exists in model_benchmark_results.csv. KV cache assumes batch_size=1, 2048 total context tokens, and FP16/BF16 KV tensors even when model weights are quantized."
infer_mem_llava_1_5_13b_hd,ModelInferenceMemoryEstimate,llava_1_5_13b_hd,INT4,1,4096,13000,,6.054,2.500,3.125,1.211,12.890,24.0,ConsumerGPU,Single 24GB+ GPU recommended for HD or longer-context 4-bit inference,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_transformers_kv_cache|evidence_llava_1_5_paper|evidence_llava_hf_config|evidence_llava_low_vram_inference,"Parameter count approximated from model family/name because no params_m row exists in model_benchmark_results.csv. KV cache assumes batch_size=1, 4096 total context tokens, and FP16/BF16 KV tensors even when model weights are quantized."
infer_mem_qwen2_5_vl_3b,ModelInferenceMemoryEstimate,qwen2_5_vl_3b,INT4,1,4096,3000,,1.397,1.500,0.141,0.279,3.317,8.0,ConsumerGPU,Single 8GB+ GPU with quantization; 12GB safer for multi-image/video,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_transformers_kv_cache|evidence_qwen2_5_vl_3b_hf|evidence_qwen2_5_vl_report|evidence_qwen_vl_finetune_repo,"KV cache assumes batch_size=1, 4096 total context tokens, and FP16/BF16 KV tensors even when model weights are quantized."
infer_mem_qwen3_6_35b_a3b,ModelInferenceMemoryEstimate,qwen3_6_35b_a3b,INT4,1,262144,35000,,16.298,8.000,80.000,3.260,107.558,80.0,DataCenterGPU,8x GPU tensor-parallel serving; memory depends on max context and KV allocation,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Low,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_hf_transformers_kv_cache|evidence_qwen3_6_35b_a3b_hf,"KV cache assumes batch_size=1, 262144 total context tokens, and FP16/BF16 KV tensors even when model weights are quantized. practical_min_vram_gb is a per-GPU class for the official-style 8-way tensor-parallel deployment rather than total cluster VRAM. Qwen3.6 estimate is low-confidence for per-token state because the architecture is hybrid/MoE; official serving guidance is preferred for deployment category."
