id,type,rule_name,condition_type,condition_value,affected_field,adjustment_action,adjustment_value,applies_to_task_ids,applies_to_model_families,confidence,notes,evidence_ids
rule_efficientnet_freeze_features_small_dataset,AdjustmentRule,Freeze EfficientNet features for very small datasets,DatasetProperty,SmallDataset_LT_1000,freeze_default,set,Set feature extractor parameters requires_grad=False and train only classifier[1] first.,image_classification,EfficientNet,Medium,Official transfer-learning tutorial describes fixed feature extraction by freezing all layers except the final layer; adapt to EfficientNet by freezing features and training classifier[1].,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_efficientnet_docs
rule_efficientnet_use_weights_transforms,AdjustmentRule,Use matching EfficientNet pretrained-weights transforms,DeploymentStage,ValidationOrInference,preprocessing,set,"Use weights.transforms(); TorchVision EfficientNet B0-B7 crop sizes are 224, 240, 288, 300, 380, 456, 528, and 600 respectively, with ImageNet normalization.",image_classification,EfficientNet,High,TorchVision documents preprocessing transforms stored with each EfficientNet weight enum; mismatched resize/crop settings can invalidate benchmark comparisons.,evidence_torchvision_efficientnet_docs
rule_efficientnet_low_vram_select_smaller_variant,AdjustmentRule,Prefer smaller EfficientNet variants under limited VRAM,HardwareConstraint,LowVRAM,"model_id, image_size_default, batch_size_default",select,"Start with EfficientNet-B0/B1/B2 or reduce batch size before using B4-B7; larger variants require higher crop sizes and much higher GFLOPs.",image_classification,EfficientNet,High,TorchVision EfficientNet metadata shows crop size and GFLOPs rise from B0 to B7; validate accuracy/latency tradeoff on target hardware.,evidence_torchvision_efficientnet_docs|evidence_efficientnet_paper
rule_efficientnet_domain_shift_unfreeze_validation,AdjustmentRule,Validate partial or full EfficientNet unfreezing under domain shift,DatasetProperty,DomainShift,freeze_default,tune,Compare head-only against unfreezing later blocks or all features with a lower backbone LR.,image_classification,EfficientNet,High,Yosinski et al. show transferability decreases as source/target task distance grows; surgical fine-tuning finds shift type influences which subset to tune.,evidence_yosinski_transferability|evidence_lee_surgical_finetuning
rule_efficientnet_finetune_lr_domain_similarity_search,AdjustmentRule,Tune EfficientNet fine-tuning LR by dataset and domain similarity,DatasetProperty,DatasetSizeOrDomainSimilarity,"learning_rate_default, momentum_default",tune,Do not reuse ImageNet pretraining LR; search smaller backbone LR such as 1e-5 to 1e-4 and classifier LR such as 1e-4 to 1e-3.,image_classification,EfficientNet,High,Li et al. show fine-tuning hyperparameters are dataset-dependent and sensitive to source/target domain similarity; choose LR/momentum by validation.,evidence_li_rethinking_finetuning_hyperparams
rule_efficientnet_randaugment_large_variants,AdjustmentRule,Use documented RandAugment settings for large EfficientNet variants,TrainingMode,ImageNetStyleTraining,"augment_name, randaug_num_layers, randaug_magnitude",set,"For EfficientNet-B5 use augment_name=randaugment; randaug_num_layers=2; randaug_magnitude=17. For EfficientNet-B7 use augment_name=randaugment; randaug_num_layers=2; randaug_magnitude=28.",image_classification,EfficientNet,High,Official TensorFlow TPU EfficientNet README gives exact RandAugment options for EfficientNet-B5 and B7/B8 checkpoints.,evidence_tensorflow_tpu_efficientnet_repo
rule_vit_b16_set_num_classes,AdjustmentRule,Replace ViT-B-16 final classifier for custom classes,DatasetProperty,CustomClassCount,model.heads.head,replace,"Use nn.Linear(model.heads.head.in_features, <custom_num_classes>) after loading ViT-B-16 pretrained weights.",image_classification,ViT-B-16,High,PyTorch transfer-learning tutorial supports replacing the final classifier for custom classes; TorchVision VisionTransformer source shows the final classifier is heads.head.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_vit_source
rule_vit_b16_freeze_encoder_small_dataset,AdjustmentRule,Freeze ViT-B-16 encoder for very small datasets,DatasetProperty,SmallDataset_LT_1000,freeze_default,set,Freeze patch projection and encoder parameters and train only heads.head first.,image_classification,ViT-B-16,Medium,Official transfer-learning tutorial describes fixed feature extraction by freezing all layers except the final layer; adapt to ViT-B-16 by training only heads.head as a conservative starting point.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_vit_source|evidence_lee_surgical_finetuning
rule_vit_b16_use_weights_transforms,AdjustmentRule,Use matching ViT-B-16 pretrained-weights transforms,DeploymentStage,ValidationOrInference,preprocessing,set,"Use weights.transforms(): IMAGENET1K_V1 uses crop=224; SWAG_E2E uses resize=384 and crop=384 with bicubic interpolation.",image_classification,ViT-B-16,High,TorchVision documents preprocessing transforms stored with each ViT-B-16 weight enum; mismatched preprocessing can invalidate benchmark comparisons.,evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source
rule_vit_b16_interpolate_positional_embeddings_resolution_change,AdjustmentRule,Interpolate ViT-B-16 positional embeddings when changing resolution,TrainingMode,ChangedImageResolution,encoder.pos_embedding,interpolate,Use TorchVision interpolate_embeddings with reset_heads=True when loading pretrained ViT-B-16 weights at a different image size.,image_classification,ViT-B-16,High,TorchVision Vision Transformer source provides interpolate_embeddings for applying pretrained checkpoints to different image resolutions and supports resetting classifier heads.,evidence_torchvision_vit_source
rule_vit_b16_low_vram_use_224_or_reduce_batch,AdjustmentRule,Prefer 224px ViT-B-16 or reduce batch under limited VRAM,HardwareConstraint,LowVRAM,"image_size_default, batch_size_default",select,Prefer 224px IMAGENET1K_V1 transforms or lower batch size before SWAG_E2E 384px fine-tuning; attention/FLOPs rise substantially at 384px.,image_classification,ViT-B-16,High,TorchVision metadata reports ViT-B-16 GFLOPs of 17.564 at 224px and 55.484 at 384px for SWAG_E2E.,evidence_torchvision_vit_source|evidence_torchvision_vit_b16_docs
rule_vit_b16_finetune_lr_domain_similarity_search,AdjustmentRule,Tune ViT-B-16 fine-tuning LR by dataset and domain similarity,DatasetProperty,DatasetSizeOrDomainSimilarity,"learning_rate_default, weight_decay_default",tune,Do not reuse the 0.003 ImageNet pretraining LR directly; search smaller backbone LR such as 1e-5 to 1e-4 and classifier LR such as 1e-4 to 1e-3.,image_classification,ViT-B-16,High,Li et al. show fine-tuning hyperparameters are dataset-dependent and sensitive to source/target domain similarity; TorchVision ViT-B-16 pretraining recipe uses AdamW with substantial regularization that should be retuned for custom data.,evidence_li_rethinking_finetuning_hyperparams|evidence_torchvision_classification_reference
rule_vit_b16_accuracy_first_consider_swag_e2e,AdjustmentRule,Consider SWAG E2E ViT-B-16 weights for accuracy-first transfer,performance_priority,AccuracyFirst,pretrained_weights,select,Prefer ViT_B_16_Weights.IMAGENET1K_SWAG_E2E_V1 when 384px inference/fine-tuning cost and license constraints are acceptable.,image_classification,ViT-B-16,High,TorchVision and SWAG sources report higher ImageNet-1K top-1 for SWAG_E2E than IMAGENET1K_V1 but at larger 384px resolution and higher GFLOPs.,evidence_torchvision_vit_source|evidence_swag_repo
rule_clip_use_clip_mean_std,AdjustmentRule,Use CLIP normalization for CLIP fine-tuning and inference,DeploymentStage,ValidationOrInference,preprocessing,set,"Use bicubic resize/center crop and CLIP mean=0.48145466|0.4578275|0.40821073 std=0.26862954|0.26130258|0.27577711; in FT-CLIP set clip_mean_and_std=true.",image_classification,CLIP,High,OpenAI CLIP source defines these preprocessing statistics; FT-CLIP explicitly enables CLIP mean/std for ImageNet-1K fine-tuning.,evidence_openai_clip_source|evidence_ft_clip_repo
rule_clip_finetune_with_layer_decay,AdjustmentRule,Use layer-wise LR decay for CLIP fine-tuning,TrainingMode,FineTunePretrained,layer_decay,set,For CLIP ViT-B/16 ImageNet-style fine-tuning start with layer_decay=0.6 and lower learning rates in earlier visual layers.,image_classification,CLIP,High,FT-CLIP identifies layer-wise learning-rate decay as important for keeping lower-layer CLIP representations from changing too much; the official config uses 0.6 for CLIP-Base/16.,evidence_ft_clip_paper|evidence_ft_clip_repo
rule_clip_finetune_effective_batch_2048,AdjustmentRule,Use FT-CLIP effective batch size for recipe reproduction,ReproducibilityGoal,FTCLIPBase16ImageNet,"batch_size_default, gradient_accumulation_default",set,batch_size=256 per GPU on 8 GPUs with update_freq=1 for effective batch size 2048.,image_classification,CLIP,High,FT-CLIP repository states the CLIP-Base/16 command uses batch_size 256 per GPU and effective batch size equals GPUs times batch size times update frequency.,evidence_ft_clip_repo
rule_clip_disable_mixup_cutmix_drop_path,AdjustmentRule,Disable MixUp CutMix and drop path for FT-CLIP-style fine-tuning,TrainingMode,FineTunePretrained,"mixup_alpha_default, cutmix_alpha_default, drop_path",set,mixup=0; cutmix=0; drop_path=0.,image_classification,CLIP,High,FT-CLIP reports MixUp and CutMix as disabled in the final config and finds increasing drop path hurts fine-tuning performance.,evidence_ft_clip_paper|evidence_ft_clip_repo
rule_clip_use_randaug_label_smoothing_ema,AdjustmentRule,Use FT-CLIP regularization defaults for ImageNet-style fine-tuning,TrainingMode,ImageNetStyleFineTune,"auto_augment_policy, label_smoothing_default, random_erasing_default, model_ema_decay",set,"RandAug m9 n2 mstd0.5; label_smoothing=0.1; random_erase=0.25 pixel; model_ema_decay=0.9998.",image_classification,CLIP,High,"FT-CLIP final config reports RandAug, label smoothing 0.1, random erase 0.25, and EMA 0.9998 for CLIP-Base/16 fine-tuning.",evidence_ft_clip_paper|evidence_ft_clip_repo
rule_clip_low_vram_reduce_batch_or_resolution,AdjustmentRule,Reduce CLIP batch size before changing core fine-tuning recipe on limited VRAM,HardwareConstraint,LowVRAM,"batch_size_default, image_size_default",decrease,"Start by reducing per-GPU batch size below 256 or using gradient accumulation; keep 224px before trying larger 384px CLIP-B/16 fine-tuning.",image_classification,CLIP,Medium,FT-CLIP recipe is documented for 8x A100-40GB with per-GPU batch 256; the same source reports CLIP-B/16 384px requires 55.4G FLOPs versus 17.5G at 224px.,evidence_ft_clip_repo|evidence_ft_clip_paper
rule_swin_v2_set_num_classes,AdjustmentRule,Replace Swin V2 classifier head for custom classes,DatasetProperty,CustomClassCount,model.head,replace,"Use nn.Linear(model.head.in_features, <custom_num_classes>) after loading Swin V2 pretrained weights.",image_classification,SwinV2,High,TorchVision SwinTransformer source defines the final classification layer as model.head; use the same transfer-learning head replacement pattern as other TorchVision classifiers.,evidence_torchvision_swin_source|evidence_pytorch_transfer_learning_tutorial
rule_swin_v2_use_weights_transforms,AdjustmentRule,Use matching Swin V2 pretrained-weights transforms,DeploymentStage,ValidationOrInference,preprocessing,set,"Use weights.transforms(): Swin V2 T/S resize=260 crop=256; Swin V2 B resize=272 crop=256 with bicubic interpolation and ImageNet normalization.",image_classification,SwinV2,High,TorchVision documents per-weight Swin V2 preprocessing transforms; mismatched resize/crop can invalidate benchmark comparisons.,evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source
rule_swin_v2_resolution_window_transfer,AdjustmentRule,Match Swin V2 window transfer when fine-tuning at higher resolution,TrainingMode,HighResolutionFineTune,"image_size_default, window_size, pretrained_window_sizes",set,"For Microsoft SwinV2-B* 22K-to-1K use 192->256 with window 12->16 or 192->384 with window 12->24 and pretrained_window_sizes=12|12|12|6.",image_classification,SwinV2,High,Swin V2 paper motivates log-spaced continuous position bias for transferring low-resolution pretrained models to high-resolution inputs; Microsoft configs give exact 256px and 384px window-transfer settings.,evidence_swin_v2_paper|evidence_microsoft_swinv2_config
rule_swin_v2_low_vram_checkpoint_accumulation,AdjustmentRule,Use checkpointing and gradient accumulation for Swin V2 under limited VRAM,HardwareConstraint,LowVRAM,"gradient_accumulation_default, use_checkpoint",set,Use --accumulation-steps and --use-checkpoint before reducing model size; Swin get-started notes checkpointing can save about 60 percent memory for Swin-B.,image_classification,SwinV2,High,Microsoft Swin get-started guide recommends gradient accumulation and checkpointing when GPU memory is insufficient and gives Swin-B memory-saving guidance.,evidence_microsoft_swin_repo
rule_swin_v2_torchvision_regularization_defaults,AdjustmentRule,Use TorchVision Swin V2 regularization defaults for ImageNet-style training,TrainingMode,ImageNetStyleTraining,"label_smoothing_default, mixup_alpha_default, cutmix_alpha_default, random_erasing_default, auto_augment_policy",set,label_smoothing=0.1; mixup_alpha=0.8; cutmix_alpha=1.0; random_erase=0.25; auto_augment=ta_wide.,image_classification,SwinV2,High,TorchVision SwinTransformer V2 reference recipe reports these regularization settings for Swin V2 T/S/B ImageNet-1K training.,evidence_torchvision_classification_reference
rule_swin_v2_accuracy_first_consider_22k_384,AdjustmentRule,Consider Microsoft 22K-pretrained 384px SwinV2-B* for accuracy-first use,performance_priority,AccuracyFirst,training_recipe_id,select,Use microsoft_swinv2_b_22kto1k_384_finetune when ImageNet-style accuracy matters and 384px compute budget is acceptable.,image_classification,SwinV2,High,Microsoft Swin model hub reports SwinV2-B* 384px fine-tuning at 87.1 top-1 versus 86.2 top-1 at 256px and higher FLOPs.,evidence_microsoft_swin_repo|evidence_microsoft_swinv2_config
rule_dinov2_use_processor_transforms,AdjustmentRule,Use DINOv2 processor transforms for fine-tuning and inference,DeploymentStage,ValidationOrInference,preprocessing,set,"Use AutoImageProcessor/DINOv2 preprocessor settings: resize shortest_edge=256, center_crop=224, rescale, RGB conversion, and ImageNet mean/std normalization.",image_classification,DINOv2,High,DINOv2 processor config and Transformers docs define preprocessing; mismatched transforms can invalidate image-classification comparisons.,evidence_hf_dinov2_preprocessor|evidence_hf_dinov2_docs
rule_dinov2_custom_num_labels_classifier,AdjustmentRule,Set DINOv2 classifier for custom labels,DatasetProperty,CustomClassCount,"num_labels, id2label, label2id, classifier",set,"Load with AutoModelForImageClassification.from_pretrained(..., num_labels=<custom_num_classes>, id2label=..., label2id=...) so the image-classification head matches the dataset.",image_classification,DINOv2,High,Transformers image-classification guide uses AutoModelForImageClassification with explicit num_labels/id2label/label2id; DINOv2 docs state the classifier is a linear layer on the CLS token.,evidence_hf_image_classification_finetune|evidence_hf_dinov2_docs
rule_dinov2_freeze_backbone_small_dataset,AdjustmentRule,Prefer frozen DINOv2 features on very small datasets,DatasetProperty,SmallDataset_LT_1000,freeze_default,set,Freeze the DINOv2 backbone and train a linear head first; unfreeze later only if validation data supports it.,image_classification,DINOv2,High,Meta reports strong DINOv2 features with classifiers as simple as linear layers and publishes official frozen linear-evaluation heads; this is a safer starting point for tiny datasets.,evidence_dinov2_repo|evidence_dinov2_paper
rule_dinov2_low_vram_use_smaller_variant_or_accumulation,AdjustmentRule,Reduce DINOv2 memory pressure by variant choice or accumulation,HardwareConstraint,LowVRAM,"model_id, batch_size_default, gradient_accumulation_default",select,"Prefer ViT-S/14 or ViT-B/14 before ViT-L/14 or ViT-g/14; reduce per-device batch and use gradient accumulation for Trainer fine-tuning.",image_classification,DINOv2,High,Official parameter counts range from 21M to 1100M and the Transformers fine-tuning guide uses gradient_accumulation_steps=4 with per-device batch 16.,evidence_dinov2_repo|evidence_hf_image_classification_finetune
rule_dinov2_trainer_keep_image_columns,AdjustmentRule,Disable unused-column removal for DINOv2 Trainer fine-tuning,TrainingMode,FineTunePretrained,remove_unused_columns,set,remove_unused_columns=False,image_classification,DINOv2,High,Transformers image-classification fine-tuning guide sets remove_unused_columns=False so custom image transform columns are preserved for Trainer batching.,evidence_hf_image_classification_finetune
rule_dinov2_accuracy_first_consider_vitg14_or_registers,AdjustmentRule,Consider larger DINOv2 variants for accuracy-first frozen-feature classification,performance_priority,AccuracyFirst,model_id,select,Prefer ViT-L/14 or ViT-g/14 when memory allows; DINOv2 with registers can improve official linear top-1 but is tracked separately from the base no-register variants.,image_classification,DINOv2,High,Meta's official table reports higher linear-evaluation accuracy for larger DINOv2 variants and includes even stronger register variants in the same model hub.,evidence_dinov2_repo
rule_yolo_disable_all_augmentations_label_sensitive,AdjustmentRule,Disable YOLO augmentations for label-sensitive validation runs,DatasetProperty,LabelSensitiveOrAblation,"hsv_h, hsv_s, hsv_v, translate, scale, fliplr, mosaic, erasing, auto_augment",set,hsv_h=0.0; hsv_s=0.0; hsv_v=0.0; translate=0.0; scale=0.0; fliplr=0.0; mosaic=0.0; erasing=0.0; auto_augment=None,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics provides this exact no-augmentation training example with disabled values.,evidence_ultralytics_augmentation_docs
rule_yolo_outdoor_lighting_hsv_example,AdjustmentRule,Set YOLO HSV augmentation for outdoor lighting variation,DatasetProperty,OutdoorLightingVariation,"hsv_h, hsv_s, hsv_v",set,hsv_h=0.03; hsv_s=0.6; hsv_v=0.5,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Ultralytics shows this exact custom augmentation example and describes HSV shifts as useful for outdoor/lighting and camera variation.,evidence_ultralytics_augmentation_docs
rule_yolo_arbitrary_orientation_degrees_10,AdjustmentRule,Use 10-degree YOLO rotation augmentation for orientation variation,DatasetProperty,ObjectOrientationVariation,degrees,set,degrees=10.0,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Ultralytics documents degrees=10.0 as an exact example that samples rotations between -10.0 and 10.0 degrees and states rotation is crucial when objects appear at different orientations.,evidence_ultralytics_augmentation_docs
rule_yolo_scale_variation_scale_05,AdjustmentRule,Use YOLO scale=0.5 for object distance and size variation,DatasetProperty,ObjectScaleVariation,scale,set,scale=0.5,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics documents scale=0.5 as the default and states it samples final scale factors from 0.5 to 1.5 to handle objects at different distances and sizes.,evidence_ultralytics_augmentation_docs
rule_yolo_occlusion_cutmix_05,AdjustmentRule,Use YOLO CutMix probability 0.5 for occlusion-heavy scenes,DatasetProperty,FrequentOcclusion,cutmix,set,cutmix=0.5,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Ultralytics documents cutmix=0.5 as an exact example and states CutMix helps recognize objects when partially occluded by other objects.,evidence_ultralytics_augmentation_docs
rule_yolo_mosaic_full_until_final_20_of_200,AdjustmentRule,Disable YOLO mosaic for the final 20 epochs of a 200-epoch run,TrainingSchedule,Epochs200WithLateCleanTraining,"mosaic, close_mosaic",set,mosaic=1.0; epochs=200; close_mosaic=20,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics states that with epochs=200 and close_mosaic=20 mosaic is disabled after 180 epochs; mosaic=1.0 means the transform is always applied before close_mosaic disables it.,evidence_ultralytics_augmentation_docs|evidence_ultralytics_cfg_docs
rule_yolo_single_class_presence_true,AdjustmentRule,Set YOLO single-class training for object-presence-only datasets,DatasetProperty,ObjectPresenceOnly,single_cls,set,single_cls=True,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics documents single_cls as treating all classes in multi-class datasets as a single class during training.,evidence_ultralytics_cfg_docs
rule_yolo_rectangular_batching_true,AdjustmentRule,Set YOLO rectangular batching for efficiency on varied aspect ratios,DatasetProperty,HighAspectRatioVariance,rect,set,rect=True,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Ultralytics documents rect=True as minimum padding to a common size and states it can improve efficiency and speed but may affect accuracy.,evidence_ultralytics_cfg_docs
rule_yolo_multiscale_025,AdjustmentRule,Set YOLO multi-scale training to +/-25 percent,DatasetProperty,ObjectScaleVariation,multi_scale,set,multi_scale=0.25,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics documents multi_scale=0.25 as varying image size from 0.75x to 1.25x each batch.,evidence_ultralytics_cfg_docs
rule_yolo_offline_inference_batch_gt1,AdjustmentRule,Set YOLO inference batch above 1 for offline directory inference,DeploymentConstraint,OfflineBatchInference,batch,set,batch=<largest_value_that_fits_memory>; default batch=1,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics documents inference batch default 1 and states larger batch size can provide higher throughput for directory/video/list sources.,evidence_ultralytics_cfg_docs
rule_yolo_realtime_stream_buffer_false,AdjustmentRule,Set YOLO stream_buffer=False for real-time video,DeploymentConstraint,RealTimeVideoStream,stream_buffer,set,stream_buffer=False,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Ultralytics documents stream_buffer=False as dropping old frames to accommodate new frames and being optimized for real-time applications.,evidence_ultralytics_cfg_docs
rule_yolo_tta_augment_true,AdjustmentRule,Set YOLO augment=True for robustness-first prediction,performance_priority,AccuracyFirst,augment,set,augment=True,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Ultralytics documents augment=True as test-time augmentation that can improve detection robustness at the cost of inference speed.,evidence_ultralytics_cfg_docs
rule_rtdetr_use_official_multiscale_list,AdjustmentRule,Use the official RT-DETR multi-scale training list,DatasetProperty,ObjectScaleVariation,multi_scale,set,"multi_scale=[480,512,544,576,608,640,640,640,672,704,736,768,800]",object_detection,RT-DETR,High,Official RT-DETR PyTorch config defines this exact multi_scale list for the R50 config.,evidence_rtdetr_pytorch_config
rule_rtdetr_use_10x_lower_backbone_lr,AdjustmentRule,Use 10x lower RT-DETR backbone learning rate,TrainingMode,PretrainedBackboneFineTune,"optimizer.backbone_lr, optimizer.lr",set,backbone_lr=0.00001; lr=0.0001,object_detection,RT-DETR,High,Official RT-DETR optimizer config sets params matching backbone to lr=0.00001 and the main optimizer lr to 0.0001.,evidence_rtdetr_pytorch_config
rule_rtdetr_set_official_batch_sizes,AdjustmentRule,Use official RT-DETR dataloader batch sizes for recipe reproduction,ReproducibilityGoal,OfficialR50Recipe,"train_dataloader.batch_size, val_dataloader.batch_size",set,train_dataloader.batch_size=4; val_dataloader.batch_size=8,object_detection,RT-DETR,High,Official RT-DETR dataloader config sets train batch_size=4 and validation batch_size=8.,evidence_rtdetr_pytorch_config
rule_detectron2_one_gpu_batch_lr_exact,AdjustmentRule,Use Detectron2 documented one-GPU batch/LR settings,HardwareConstraint,OneGPU,"SOLVER.IMS_PER_BATCH, SOLVER.BASE_LR",set,SOLVER.IMS_PER_BATCH=2; SOLVER.BASE_LR=0.0025,object_detection,RetinaNet|Faster R-CNN,High,Detectron2 getting-started docs state configs are made for 8-GPU training and give this exact one-GPU example.,evidence_detectron2_training_docs
rule_detectron2_crowded_set_detections_per_image_to_expected_max,AdjustmentRule,Set Detectron2 detections per image to expected object maximum,DatasetProperty,CrowdedEnvironment_GT_100,TEST.DETECTIONS_PER_IMAGE,set,TEST.DETECTIONS_PER_IMAGE=<expected_max_objects_per_image>; must be >100 for images with more than 100 objects,object_detection,RetinaNet|Faster R-CNN,High,Detectron2 custom-dataset docs state TEST.DETECTIONS_PER_IMAGE controls the maximum number of objects and should be set larger if test images may contain >100 objects.,evidence_detectron2_custom_dataset_docs
rule_llava_preserve_global_batch,AdjustmentRule,Preserve LLaVA global batch when changing GPU count,HardwareConstraint,FewerGPUs,"per_device_train_batch_size, gradient_accumulation_steps",scale,"Keep per_device_train_batch_size * gradient_accumulation_steps * num_gpus equal to the reference global batch size: 256 for pretraining and 128 for visual instruction tuning.",visual_question_answering,LLaVA-1.5,High,Official LLaVA training docs state that when training on fewer GPUs users should reduce per-device batch size and increase gradient accumulation while keeping global batch size unchanged.,evidence_llava_official_repo|evidence_llava_pretrain_script|evidence_llava_finetune_script
rule_llava_low_memory_use_lora,AdjustmentRule,Use LoRA for lower-memory LLaVA fine-tuning,HardwareConstraint,LowVRAM,training_strategy,select,"Use official LoRA fine-tuning with lora_r=128, lora_alpha=256, learning_rate=2e-4, and mm_projector_lr=2e-5 before attempting full-model 13B fine-tuning on limited VRAM.",visual_question_answering,LLaVA-1.5,High,Official LLaVA repository recommends LoRA when GPU memory is insufficient and reports fitting 13B training on 8 A100-40GB or 8 RTX A6000 and 7B training on 8 RTX3090.,evidence_llava_official_repo|evidence_llava_lora_script
rule_llava_low_vram_inference_quantize,AdjustmentRule,Use 4-bit or 8-bit LLaVA inference under low VRAM,HardwareConstraint,LowVRAMInference,quantization,set,Use --load-4bit or --load-8bit for model_worker or CLI inference; validate accuracy because quantization may reduce quality.,visual_question_answering,LLaVA-1.5,High,Official LLaVA repository documents 4-bit/8-bit inference and notes reduced memory footprint with potential accuracy impact.,evidence_llava_official_repo
rule_llava_use_pad_aspect_ratio,AdjustmentRule,Pad non-square images for LLaVA-1.5 instruction tuning,TrainingMode,FineTunePretrained,image_aspect_ratio,set,image_aspect_ratio=pad,visual_question_answering,LLaVA-1.5,High,Official LLaVA training notes say padding non-square images to square instead of cropping slightly reduces hallucination.,evidence_llava_official_repo|evidence_llava_finetune_script
rule_llava_group_by_modality_for_mixed_data,AdjustmentRule,Group LLaVA batches by modality for mixed instruction data,DatasetProperty,MixedLanguageAndMultimodalData,group_by_modality_length,set,group_by_modality_length=True,visual_question_answering,LLaVA-1.5,High,Official LLaVA docs recommend this only when instruction tuning data contains both language-only and multimodal examples and report about 25 percent speedup without affecting the final outcome.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_finetune_script
rule_llava_format_prompt_short_vqa,AdjustmentRule,Add explicit short-answer format prompts for VQA data,DatasetProperty,ShortAnswerVQA,response_format_prompt,set,"Append: Answer the question using a single word or phrase.",visual_question_answering,LLaVA-1.5,High,LLaVA-1.5 paper identifies ambiguous answer-format prompts as a key multitask-balancing issue and uses explicit response-format prompts for VQAv2 GQA TextVQA MME and POPE evaluation/training examples.,evidence_llava_1_5_paper
rule_llava_accuracy_first_raise_resolution,AdjustmentRule,Increase LLaVA input resolution for detail-heavy VQA when memory allows,performance_priority,AccuracyFirst,image_size_default,increase,"Use CLIP ViT-L/14 336px for LLaVA-1.5; consider HD grid-style higher-resolution processing for OCR or fine-detail tasks if memory and context budget allow.",visual_question_answering,LLaVA-1.5|LLaVA-1.5-HD,High,LLaVA-1.5 improves over the original by scaling to 336px and LLaVA-1.5-HD improves detail-heavy benchmarks by splitting higher-resolution images into grids with global context.,evidence_llava_1_5_paper|evidence_llava_official_repo
rule_llava_mlp_connector_pretrain_lr,AdjustmentRule,Use lower LLaVA pretraining LR with MLP projector,TrainingMode,PretrainConnector,learning_rate_default,set,learning_rate=1e-3 for LLaVA-1.5 MLP projector pretraining,visual_question_answering,LLaVA-1.5,High,LLaVA-1.5 paper states the pretraining learning rate is halved due to the MLP projection layer instead of the original linear projection layer.,evidence_llava_1_5_paper|evidence_llava_pretrain_script
rule_qwen_vl_use_flash_attention_for_memory,AdjustmentRule,Enable FlashAttention for Qwen VL memory pressure,HardwareConstraint,LowVRAMOrMultiImageVideo,attn_implementation,set,flash_attention_2,visual_question_answering,Qwen2.5-VL|Qwen3-VL,High,Official Qwen2.5-VL model card recommends FlashAttention 2 for better acceleration and memory saving especially in multi-image and video scenarios; Qwen VL fine-tuning notes also mention adding flash_attention_2 to config.json.,evidence_qwen2_5_vl_3b_hf|evidence_qwen_vl_finetune_repo
rule_qwen_vl_adjust_pixel_budget_for_cost_accuracy,AdjustmentRule,Tune Qwen VL min_pixels and max_pixels for visual-token budget,performance_priority,CostAccuracyTradeoff,"min_pixels, max_pixels",tune,"Use lower max_pixels for memory/latency; raise max_pixels for OCR, documents, and fine-detail VQA when validation improves. Model-card example token range is 256-1280 visual tokens; fine-tuning example uses min_pixels=16*28*28 and max_pixels=576*28*28.",visual_question_answering,Qwen2.5-VL|Qwen3-VL,High,Official Qwen2.5-VL model card states the default visual-token range is 4-16384 and min_pixels/max_pixels can be set to balance performance and cost; Qwen VL fine-tuning README says training resolution is critical.,evidence_qwen2_5_vl_3b_hf|evidence_qwen_vl_finetune_repo
rule_qwen_vl_use_low_lr_range,AdjustmentRule,Use very low learning rate for Qwen VL fine-tuning,TrainingMode,FineTunePretrained,learning_rate_default,set,Start with 2e-7 and search from 1e-6 down to 2e-7.,visual_question_answering,Qwen2.5-VL|Qwen3-VL,High,Official Qwen VL fine-tuning README states the suggested learning rate is from 1e-6 to 2e-7 and the example script uses 2e-7.,evidence_qwen_vl_finetune_repo
rule_qwen_vl_freeze_vision_when_mixing_image_video,AdjustmentRule,Freeze Qwen VL vision tower when training with image and video data,DatasetProperty,MixedImageVideoData,tune_mm_vision,set,False,visual_question_answering,Qwen2.5-VL|Qwen3-VL,High,Official Qwen VL fine-tuning README states that if trained with both image and video data tune_mm_vision should be False.,evidence_qwen_vl_finetune_repo
